Date,PM2.5,PM10,SO2,NO2,CO,O3
2019-01-01,82,118,22,64,2.14,31
2019-01-02,95,137,26,73,2.61,24
2019-01-03,52,81,31,49,1.43,29
2019-01-04,52,91,29,57,1.32,32
2019-01-05,68,115,36,70,2.08,24
2019-01-06,59,100,26,51,1.53,35
2019-01-07,31,71,23,39,0.84,45
2019-01-08,39,83,22,45,1.19,36
2019-01-09,55,100,26,51,1.53,30
2019-01-10,40,88,18,41,0.95,42
2019-01-11,77,137,31,73,2.3,26
2019-01-12,58,133,32,73,1.79,34
2019-01-13,61,120,37,80,2.13,30
2019-01-14,35,72,20,45,1.02,42
2019-01-15,21,49,14,35,0.67,48
2019-01-16,37,71,25,49,1.3,29
2019-01-17,46,87,27,54,1.57,32
2019-01-18,26,61,18,35,0.69,49
2019-01-19,34,74,23,46,1.05,34
2019-01-20,27,54,20,34,0.76,41
2019-01-21,52,82,20,58,1.33,34
2019-01-22,58,98,25,72,2.04,33
2019-01-23,54,96,30,71,2.06,30
2019-01-24,44,82,22,55,1.24,33
2019-01-25,42,82,21,59,1.25,38
2019-01-26,38,81,24,47,1.2,44
2019-01-27,23,52,16,30,0.59,58
2019-01-28,30,62,40,43,0.94,37
2019-01-29,29,57,26,45,1.04,38
2019-01-30,25,65,14,24,0.64,53
2019-01-31,30,84,10,32,0.67,49
2019-02-01,53,121,20,63,1.75,38
2019-02-02,29,102,20,34,0.69,51
2019-02-03,25,71,15,31,0.74,53
2019-02-04,38,86,25,45,1.21,51
2019-02-05,40,82,32,40,1.3,52
2019-02-06,24,51,20,30,0.81,57
2019-02-07,23,75,21,25,0.66,58
2019-02-08,31,125,18,17,0.52,61
2019-02-09,24,74,14,18,0.56,56
2019-02-10,30,83,15,24,0.71,52
2019-02-11,38,93,21,39,1.08,47
2019-02-12,37,101,20,45,1.08,51
2019-02-13,45,132,23,51,1.34,48
2019-02-14,35,174,8,19,0.43,64
2019-02-15,31,108,17,30,0.77,50
2019-02-16,31,80,27,26,0.73,55
2019-02-17,31,64,29,25,0.72,57
2019-02-18,37,70,15,31,0.9,62
2019-02-19,55,108,22,53,1.23,46
2019-02-20,39,77,13,39,1.08,46
2019-02-21,34,66,14,38,0.99,63
2019-02-22,45,79,15,46,1.21,43
2019-02-23,42,78,15,47,1.14,43
2019-02-24,38,62,13,28,0.76,67
2019-02-25,38,72,12,30,0.75,58
2019-02-26,43,88,15,33,0.82,54
2019-02-27,37,60,8,42,0.95,46
2019-02-28,38,60,10,47,1.18,38
2019-03-01,34,54,8,48,1.08,31
2019-03-02,39,68,11,46,1.23,46
2019-03-03,43,79,13,59,1.33,50
2019-03-04,37,76,17,48,1.02,54
2019-03-05,37,73,19,45,0.85,71
2019-03-06,40,77,14,56,1.08,57
2019-03-07,31,53,8,38,0.87,61
2019-03-08,27,57,10,33,0.83,61
2019-03-09,34,70,10,33,0.73,70
2019-03-10,27,74,9,29,0.53,77
2019-03-11,22,64,14,31,0.57,69
2019-03-12,29,83,17,49,0.96,61
2019-03-13,24,61,20,34,0.61,65
2019-03-14,34,76,16,50,1.14,56
2019-03-15,33,81,18,59,0.96,61
2019-03-16,34,85,16,51,0.94,58
2019-03-17,32,70,15,38,0.76,69
2019-03-18,38,86,15,51,0.93,68
2019-03-19,31,85,18,41,0.81,66
2019-03-20,33,133,8,21,0.38,76
2019-03-21,30,116,11,26,0.48,70
2019-03-22,28,89,18,35,0.56,60
2019-03-23,33,94,13,52,0.78,63
2019-03-24,33,99,12,40,0.68,74
2019-03-25,36,109,17,51,0.85,72
2019-03-26,39,119,22,48,0.8,66
2019-03-27,46,175,13,46,0.81,62
2019-03-28,55,233,10,40,0.62,64
2019-03-29,29,116,10,26,0.5,71
2019-03-30,31,109,11,39,0.65,67
2019-03-31,32,92,18,52,0.87,67
2019-04-01,36,121,19,53,0.85,70
2019-04-02,24,72,11,39,0.57,87
2019-04-03,32,89,16,56,0.72,73
2019-04-04,28,81,10,40,0.63,91
2019-04-05,31,95,19,57,0.88,65
2019-04-06,42,164,17,48,0.78,67
2019-04-07,38,141,15,42,0.81,74
2019-04-08,28,84,7,24,0.56,87
2019-04-09,18,40,9,21,0.5,77
2019-04-10,16,46,11,17,0.44,89
2019-04-11,19,59,14,33,0.47,76
2019-04-12,21,55,6,25,0.53,90
2019-04-13,22,46,6,24,0.44,73
2019-04-14,24,58,8,39,0.65,68
2019-04-15,25,67,12,49,0.6,53
2019-04-16,31,81,12,62,1.02,68
2019-04-17,30,90,15,66,0.95,84
2019-04-18,23,68,10,43,0.78,65
2019-04-19,37,123,11,39,0.63,64
2019-04-20,35,92,5,27,0.5,76
2019-04-21,30,83,14,50,0.86,71
2019-04-22,27,80,9,49,0.67,78
2019-04-23,27,70,13,55,0.7,87
2019-04-24,36,142,5,26,0.44,79
2019-04-25,31,94,15,38,0.56,82
2019-04-26,37,122,9,45,0.62,76
2019-04-27,37,84,6,19,0.48,93
2019-04-28,29,62,8,29,0.5,82
2019-04-29,23,55,9,24,0.46,66
2019-04-30,17,39,5,27,0.52,68
2019-05-01,25,65,6,36,0.55,61
2019-05-02,23,62,7,38,0.58,57
2019-05-03,18,41,8,24,0.64,84
2019-05-04,22,56,8,40,0.62,70
2019-05-05,18,36,4,19,0.52,81
2019-05-06,14,29,4,23,0.55,84
2019-05-07,13,26,5,24,0.65,82
2019-05-08,15,30,7,17,0.42,81
2019-05-09,16,37,5,31,0.51,63
2019-05-10,19,43,8,32,0.54,70
2019-05-11,19,42,5,30,0.5,76
2019-05-12,229,1054,4,18,0.42,78
2019-05-13,104,411,7,39,0.64,55
2019-05-14,28,81,5,30,0.53,83
2019-05-15,49,168,4,33,0.53,71
2019-05-16,32,106,6,34,0.7,73
2019-05-17,25,75,10,35,0.74,72
2019-05-18,36,123,5,20,0.5,83
2019-05-19,36,120,5,16,0.42,88
2019-05-20,25,84,7,39,0.58,61
2019-05-21,23,76,12,42,0.67,67
2019-05-22,21,71,13,45,0.66,72
2019-05-23,23,68,15,49,0.7,68
2019-05-24,20,61,9,45,0.59,71
2019-05-25,37,122,11,40,0.61,63
2019-05-26,28,99,6,21,0.36,81
2019-05-27,17,37,4,18,0.53,84
2019-05-28,22,53,7,30,0.66,66
2019-05-29,20,52,10,36,0.49,71
2019-05-30,16,47,7,34,0.53,91
2019-05-31,25,72,14,49,0.8,56
2019-06-01,26,71,9,40,0.72,64
2019-06-02,19,56,7,33,0.51,86
2019-06-03,16,47,8,32,0.48,90
2019-06-04,21,55,8,35,0.5,63
2019-06-05,18,42,8,32,0.57,71
2019-06-06,18,48,10,33,0.51,75
2019-06-07,21,57,17,31,0.49,72
2019-06-08,20,53,18,29,0.5,78
2019-06-09,17,47,7,31,0.47,80
2019-06-10,19,47,9,35,0.59,75
2019-06-11,19,43,5,29,0.44,66
2019-06-14,34,61,4,20,0.38,70
2019-06-15,21,48,6,24,0.48,77
2019-06-17,22,60,15,52,0.86,71
2019-06-18,21,54,13,52,0.69,55
2019-06-19,15,31,7,30,0.58,88
2019-06-20,13,33,12,32,0.7,62
2019-06-25,16,46,7,27,0.58,78
2019-06-26,13,35,5,23,0.45,64
2019-06-27,10,23,4,22,0.52,75
2019-06-28,13,36,5,35,0.6,76
2019-06-29,22,70,15,52,0.75,44
2019-06-30,17,51,10,38,0.55,58
2019-07-01,22,63,11,42,0.7,70
2019-07-02,18,54,8,38,0.57,60
2019-07-03,20,50,11,35,0.63,69
2019-07-04,16,41,8,36,0.62,87
2019-07-05,25,95,10,39,0.63,74
2019-07-06,22,84,8,38,0.64,74
2019-07-07,17,56,4,23,0.46,88
2019-07-12,18,41,7,42,0.66,113
2019-07-13,20,49,14,41,0.77,124
2019-07-14,20,55,9,43,0.7,78
2019-07-15,17,32,5,38,0.66,84
2019-07-16,17,46,7,47,0.89,83
2019-07-17,19,50,10,47,0.97,88
2019-07-18,20,54,9,49,0.68,64
2019-07-19,12,24,5,28,0.5,93
2019-07-20,14,43,8,46,0.8,82
2019-07-21,13,36,6,43,0.58,59
2019-07-22,17,56,7,41,0.79,88
2019-07-23,21,68,15,45,0.85,83
2019-07-24,18,53,5,36,0.59,76
2019-07-25,17,52,11,52,0.86,56
2019-07-26,16,58,11,43,0.72,77
2019-08-06,16,49,7,38,0.78,81
2019-08-07,21,60,10,40,0.77,78
2019-08-08,17,45,5,23,0.45,80
2019-08-09,15,41,6,31,0.61,76
2019-08-10,17,47,9,38,0.74,79
2019-08-11,18,56,12,39,0.82,82
2019-08-21,16,38,6,31,0.57,51
2019-08-22,19,40,23,23,0.6,64
2019-08-23,15,34,8,32,0.71,51
2019-08-24,15,37,6,46,0.72,47
2019-08-25,15,49,8,38,0.89,56
2019-08-26,13,28,5,27,0.63,83
2019-08-27,18,53,9,42,0.88,77
2019-08-28,20,39,10,34,0.76,66
2019-09-01,22,54,14,40,0.8,68
2019-09-02,17,41,6,30,0.67,61
2019-09-03,15,33,5,23,0.59,55
2019-09-04,22,50,7,32,0.83,61
2019-09-05,21,49,8,34,0.7,62
2019-09-06,19,49,8,33,0.77,56
2019-09-07,24,67,11,33,0.74,69
2019-09-08,29,77,13,28,0.81,70
